classification,symbol,trades,net_pnl,avg_pnl,win_rate
Extreme Greed,@74,1,299.941989,299.941989,1.0
Extreme Greed,@8,40,0.0,0.0,0.0
Extreme Greed,AAVE,102,8706.88256,85.3615937254902,0.4803921568627451
Extreme Greed,ADA,9,753.713716,83.74596844444444,0.3333333333333333
Extreme Greed,APE,45,2072.62718,46.058381777777775,0.37777777777777777
Extreme Greed,AR,6,129.77132,21.628553333333333,0.8333333333333334
Extreme Greed,ATOM,3,0.0,0.0,0.0
Extreme Greed,AVAX,6,1.252022,0.20867033333333332,0.3333333333333333
Extreme Greed,BANANA,3,-35.883988,-11.961329333333333,0.0
Extreme Greed,BLAST,4,135.989017,33.99725425,1.0
Extreme Greed,BNB,6,14.42765,2.4046083333333335,0.3333333333333333
Extreme Greed,BRETT,43,-874.029129,-20.326258813953487,0.0
Extreme Greed,BTC,319,13258.094285,41.561424090909085,0.31974921630094044
Extreme Greed,CHILLGUY,10,21.008012,2.1008012000000003,0.4
Extreme Greed,CRV,13,-1199.624026,-92.27877123076922,0.0
Extreme Greed,DOGE,24,680.199819,28.341659125000003,0.5416666666666666
Extreme Greed,DOT,13,6.140043,0.47231100000000004,0.5384615384615384
Extreme Greed,EIGEN,26,285.021189,10.962353423076923,0.4230769230769231
Extreme Greed,ENA,23,2.333863,0.10147230434782609,0.08695652173913043
Extreme Greed,ETH,613,-104319.410535,-170.17848374388254,0.15171288743882544
Extreme Greed,ETHFI,17,1412.314654,83.0773325882353,0.5294117647058824
Extreme Greed,FET,2,17.0533,8.52665,0.5
Extreme Greed,FTT,226,384.150912,1.699782796460177,0.3230088495575221
Extreme Greed,FXS,14,-64.437356,-4.6026682857142855,0.0
Extreme Greed,GMX,57,61.855318,1.0851810175438596,0.45614035087719296
Extreme Greed,GOAT,68,7714.837834,113.45349755882353,0.6323529411764706
Extreme Greed,GRASS,2,132.48739,66.243695,1.0
Extreme Greed,HBAR,52,637.48106,12.259251153846153,0.21153846153846154
Extreme Greed,HPOS,8,0.0,0.0,0.0
Extreme Greed,HYPE,108,336.71153499999997,3.117699398148148,0.21296296296296297
Extreme Greed,IMX,3,1.308111,0.436037,0.6666666666666666
Extreme Greed,INJ,19,31.518318,1.6588588421052632,0.47368421052631576
Extreme Greed,IO,58,-32.56077100000001,-0.561392603448276,0.15517241379310345
Extreme Greed,JUP,35,852.0054,24.34301142857143,0.9428571428571428
Extreme Greed,LDO,14,11.591396999999999,0.8279569285714284,0.14285714285714285
Extreme Greed,LINK,27,150.499455,5.57405388888889,0.14814814814814814
Extreme Greed,LTC,2,0.0,0.0,0.0
Extreme Greed,MANTA,2,0.0,0.0,0.0
Extreme Greed,MATIC,10,48.144522,4.8144522,0.4
Extreme Greed,MAV,2,0.0189,0.00945,0.5
Extreme Greed,ME,10,2767.02671,276.702671,0.8
Extreme Greed,MEME,41,2548.372036,62.15541551219513,0.4634146341463415
Extreme Greed,MOODENG,60,128.779512,2.1463252,0.25
Extreme Greed,NEAR,2,12.57768,6.28884,0.5
Extreme Greed,NTRN,1,0.0,0.0,0.0
Extreme Greed,ORDI,5,4.577412,0.9154823999999999,0.4
Extreme Greed,PENDLE,2,126.7884,63.3942,0.5
Extreme Greed,PNUT,19,8544.6855,449.7202894736842,0.5263157894736842
Extreme Greed,PURR,12,1110.8879670000001,92.57399725,0.3333333333333333
Extreme Greed,PURR/USDC,115,4243.732564,36.90202229565217,0.6
Extreme Greed,RNDR,34,37.58387,1.1054079411764706,0.5882352941176471
Extreme Greed,RUNE,11,181.44086900000002,16.494624454545455,0.45454545454545453
Extreme Greed,SAND,6,34.072534000000005,5.678755666666667,0.3333333333333333
Extreme Greed,SOL,31,1213.8365440000002,39.156017548387105,0.41935483870967744
Extreme Greed,STRK,8,8.088923000000001,1.0111153750000001,0.5
Extreme Greed,SUI,36,722.90799,20.0807775,0.3333333333333333
Extreme Greed,SUSHI,41,17.48538200000001,0.42647273170731725,0.14634146341463414
Extreme Greed,TAO,1,9.504275,9.504275,1.0
Extreme Greed,TIA,10,373.544,37.3544,0.2
Extreme Greed,TNSR,187,625.65131,3.3457289304812834,0.47058823529411764
Extreme Greed,TRX,71,141.46889399999998,1.9925196338028166,0.08450704225352113
Extreme Greed,TURBO,29,7491.47082,258.32658,0.5862068965517241
Extreme Greed,UNI,5,8.084583,1.6169166000000001,0.4
Extreme Greed,W,36,113.419746,3.1505485,0.4444444444444444
Extreme Greed,WIF,37,2248.600238,60.77297940540541,0.9459459459459459
Extreme Greed,WLD,79,5014.853542,63.47915875949367,0.6455696202531646
Extreme Greed,XAI,4,24.573897000000002,6.143474250000001,0.75
Extreme Greed,XRP,59,-69.98965700000001,-1.1862653728813561,0.2542372881355932
Extreme Greed,YGG,4,1.986852,0.496713,0.25
Extreme Greed,ZETA,5,-13.86348,-2.772696,0.0
